DataSeries,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,year,period,income_group,data_source,id,title,footnote,frequency,datasource,generatedBy,dataLastUpdated,dateGenerated,offset,limit,sortBy,timeFilter,between,search,row,extraction_date,source
        Outpatient Services,114.89,110.439,102.324,99.12,98.341,100.0,97.977,96.132,93.968,91.181,90.522,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Hospital Services,117.364,112.204,106.157,103.825,102.277,100.0,97.761,94.824,91.457,90.491,87.593,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Health Insurance,120.699,112.58,107.371,104.959,100.009,100.0,99.95,99.558,98.193,97.866,97.91,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
    Transport,136.528,136.516,127.404,108.586,98.841,100.0,98.882,99.223,96.343,99.245,101.943,103.486,101.097,94.225,83.275,74.585,76.977,74.252,72.506,74.686,77.546,79.308,80.964,82.017,87.158,86.298,84.435,98.41,91.915,92.77,93.395,79.688,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Private Transport,142.353,143.047,131.638,110.206,98.609,100.0,98.889,99.305,95.537,99.019,102.357,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
            Cars,156.217,158.794,142.588,115.277,100.696,100.0,98.27,101.797,101.08,106.581,110.372,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
            Petrol,128.469,124.801,129.73,109.29,92.839,100.0,99.869,93.65,85.902,89.285,93.595,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Public Transport,124.57,116.607,112.73,104.193,102.002,100.0,98.359,98.857,99.98,99.515,97.448,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
            Bus & Train Fares,120.367,112.652,109.329,106.993,106.958,100.001,95.79,97.878,102.138,103.083,100.41,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
            Point-To-Point Transport Services,130.65,121.749,117.927,103.522,99.115,100.0,100,100,100,99.669,99.323,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Other Transport Services,107.784,110.259,112.006,101.573,97.519,100.0,99.435,98.959,98.959,100.85,103.662,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
    Communication,102.041,101.579,98.815,99.865,100.592,100.0,101.132,102.148,101.597,101.88,101.353,101.486,102.955,103.045,104.767,107.227,107.114,107.132,106.466,107.848,109.501,109.754,108.335,108.677,111.59,116.6,118.969,126.316,130.894,132.11,138.691,139.937,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Postage & Courier Services,111.887,99.54,97.149,92.955,102.522,100.001,100.024,100.024,100.024,100.024,93.735,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Telecommunication Equipment,93.631,96.745,98.964,94.727,98.5,100.0,112.137,119.567,120.896,119.085,118.985,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Telecommunication Services,102.76,102.051,98.814,100.402,100.775,100.0,100.558,101.244,100.586,100.984,100.503,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
    Recreation & Culture,114.119,109.78,103.307,98.999,97.821,100.0,98.893,97.67,97.241,96.355,96.155,94.702,93.85,92.847,92.223,90.928,92.503,88.722,85.325,85.897,84.641,83.58,85.01,85.093,82.563,81.643,82.2,85.935,86.887,86.015,85.731,85.198,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Recreational & Cultural Goods,104.042,103.257,101.118,99.047,99.263,100.0,101.682,102.082,102.926,103.468,103.655,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Recreational & Cultural Services,116.407,109.799,105.322,101.28,99.905,100.0,98.69,97.522,96.673,95.903,95.623,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
"        Newspapers, Books & Stationery",104.075,103.363,101.584,100.642,100.385,100.0,99.734,99.731,98.916,95.335,94.102,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Holiday Expenses,116.542,111.864,103.262,98.069,96.544,100.0,98.064,96.186,95.642,94.545,94.381,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
    Education,111.855,108.075,104.954,102.914,101.588,100.0,97.664,94.981,92.134,89.381,86.206,83.271,79.955,76.806,74.179,71.753,70.976,67.658,65.874,64.079,61.776,58.823,56.253,54.86,52.732,51.252,49.371,46.761,45.243,42.986,41.456,40.333,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Tuition & Other Fees,111.909,108.113,104.987,102.935,101.598,100.0,97.638,94.932,92.064,89.296,86.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Textbooks & Study Guides,104.707,102.972,100.557,100.109,100.227,100.0,100.599,100.594,99.969,98.979,98.23,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
    Miscellaneous Goods & Services,101.837,100.85,98.57,98.295,98.833,100.0,99.761,99.623,99.098,98.746,99.128,98.568,95.51,93.891,92.836,92.234,91.981,90.156,88.215,86.268,85.049,82.789,81.274,82.023,81.26,80.883,80.067,79.411,79.004,78.541,77.904,76.312,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Personal Care,105.088,103.618,100.261,98.711,99.861,100.0,99.373,99.595,100.291,100.219,100.483,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Alcoholic Drinks & Tobacco,107.664,106.093,98.97,98.245,98.114,100.0,100.225,97.565,97.364,97.557,97.609,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Personal Effects,97.333,96.922,96.385,96.418,95.6,100.0,100.445,100.837,98.579,96.894,98.535,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Social Services,102.442,101.238,101.737,100.738,101.77,100.0,99.836,98.259,96.415,94.1,91.756,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
        Other Miscellaneous Services,93.839,94.079,94.721,99.215,100.022,100.0,100.046,100.042,96.578,96.696,96.48,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
All Items Less Imputed Rentals On Owner-Occupied Accommodation,118.366,116.071,110.3,102.838,99.735,100.0,98.986,97.896,96.184,96.056,96.183,95.226,93.186,89.787,85.395,82.309,82.793,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
All Items Less Accommodation,118.729,116.52,110.659,102.938,99.691,100.0,98.943,97.779,95.919,95.736,95.831,94.893,92.875,89.49,85.069,81.839,82.407,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2025.0,Post-COVID,All,sg_gov,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual,All,sg_singstat,M213071,"Consumer Price Index (CPI) By Household Income Group, Middle 60%, 2019 As Base Year, Half-Yearly","The weighting pattern for the 2019-based CPI was derived from expenditure values collected in the Household Expenditure Survey (HES) conducted between October 2017 and September 2018.  These expenditure values were updated to 2019 values by taking into account price changes between 2017/18 and 2019.  Household income group is based on ranking of resident households by their monthly household income from all sources (including imputed rental on owner-occupied accommodation).  This matrix is compiled on a half-yearly basis.  Data values for '1H' refers to CPI for the period January-June, and data values for '2H' refers to CPI for the period July-December.  For more information on the CPI rebasing, refer to the Information Paper 'Rebasing of the Consumer Price Index (2019 as Base Year)' (https://www.singstat.gov.sg/-/media/files/publications/economy/ip-e48.pdf).",Half-Yearly,SINGAPORE DEPARTMENT OF STATISTICS,SingStat Table Builder,23/01/2025,04/04/2025,,5000.0,,,,,"{'seriesNo': '1', 'rowText': 'All Items', 'uoM': 'Index', 'footnote': '', 'columns': [{'key': '1993 1H', 'value': '67.577'}, {'key': '1993 2H', 'value': '68.078'}, {'key': '1994 1H', 'value': '69.102'}, {'key': '1994 2H', 'value': '69.977'}, {'key': '1995 1H', 'value': '70.656'}, {'key': '1995 2H', 'value': '71.038'}, {'key': '1996 1H', 'value': '71.67'}, {'key': '1996 2H', 'value': '72.205'}, {'key': '1997 1H', 'value': '72.777'}, {'key': '1997 2H', 'value': '73.554'}, {'key': '1998 1H', 'value': '73.535'}, {'key': '1998 2H', 'value': '73.024'}, {'key': '1999 1H', 'value': '73.345'}, {'key': '1999 2H', 'value': '73.889'}, {'key': '2000 1H', 'value': '74.361'}, {'key': '2000 2H', 'value': '74.817'}, {'key': '2001 1H', 'value': '75.008'}, {'key': '2001 2H', 'value': '74.784'}, {'key': '2002 1H', 'value': '74.665'}, {'key': '2002 2H', 'value': '74.752'}, {'key': '2003 1H', 'value': '75.015'}, {'key': '2003 2H', 'value': '75.264'}, {'key': '2004 1H', 'value': '76.024'}, {'key': '2004 2H', 'value': '76.513'}, {'key': '2005 1H', 'value': '76.235'}, {'key': '2005 2H', 'value': '77.157'}, {'key': '2006 1H', 'value': '77.262'}, {'key': '2006 2H', 'value': '77.725'}, {'key': '2007 1H', 'value': '77.6'}, {'key': '2007 2H', 'value': '80.539'}, {'key': '2008 1H', 'value': '83.008'}, {'key': '2008 2H', 'value': '85.505'}, {'key': '2009 1H', 'value': '84.733'}, {'key': '2009 2H', 'value': '85.26'}, {'key': '2010 1H', 'value': '86.384'}, {'key': '2010 2H', 'value': '88.213'}, {'key': '2011 1H', 'value': '90.42'}, {'key': '2011 2H', 'value': '93.01'}, {'key': '2012 1H', 'value': '95.114'}, {'key': '2012 2H', 'value': '96.893'}, {'key': '2013 1H', 'value': '97.835'}, {'key': '2013 2H', 'value': '98.773'}, {'key': '2014 1H', 'value': '99.42'}, {'key': '2014 2H', 'value': '99.476'}, {'key': '2015 1H', 'value': '99.251'}, {'key': '2015 2H', 'value': '98.982'}, {'key': '2016 1H', 'value': '98.566'}, {'key': '2016 2H', 'value': '98.734'}, {'key': '2017 1H', 'value': '99.147'}, {'key': '2017 2H', 'value': '99.12'}, {'key': '2018 1H', 'value': '99.367'}, {'key': '2018 2H', 'value': '99.717'}, {'key': '2019 1H', 'value': '99.918'}, {'key': '2019 2H', 'value': '100.082'}, {'key': '2020 1H', 'value': '99.783'}, {'key': '2020 2H', 'value': '99.939'}, {'key': '2021 1H', 'value': '101.132'}, {'key': '2021 2H', 'value': '102.671'}, {'key': '2022 1H', 'value': '106.09'}, {'key': '2022 2H', 'value': '109.633'}, {'key': '2023 1H', 'value': '112.005'}, {'key': '2023 2H', 'value': '113.902'}, {'key': '2024 1H', 'value': '115.285'}, {'key': '2024 2H', 'value': '116.199'}]}",2025-04-04 06:10:24,SingStat Table Builder API
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual,All,sg_singstat,M213071,"Consumer Price Index (CPI) By Household Income Group, Middle 60%, 2019 As Base Year, Half-Yearly","The weighting pattern for the 2019-based CPI was derived from expenditure values collected in the Household Expenditure Survey (HES) conducted between October 2017 and September 2018.  These expenditure values were updated to 2019 values by taking into account price changes between 2017/18 and 2019.  Household income group is based on ranking of resident households by their monthly household income from all sources (including imputed rental on owner-occupied accommodation).  This matrix is compiled on a half-yearly basis.  Data values for '1H' refers to CPI for the period January-June, and data values for '2H' refers to CPI for the period July-December.  For more information on the CPI rebasing, refer to the Information Paper 'Rebasing of the Consumer Price Index (2019 as Base Year)' (https://www.singstat.gov.sg/-/media/files/publications/economy/ip-e48.pdf).",Half-Yearly,SINGAPORE DEPARTMENT OF STATISTICS,SingStat Table Builder,23/01/2025,04/04/2025,,5000.0,,,,,"{'seriesNo': '1.0', 'rowText': 'Food', 'uoM': 'Index', 'footnote': '', 'columns': [{'key': '1993 1H', 'value': '60.796'}, {'key': '1993 2H', 'value': '60.975'}, {'key': '1994 1H', 'value': '62.532'}, {'key': '1994 2H', 'value': '63.548'}, {'key': '1995 1H', 'value': '64.314'}, {'key': '1995 2H', 'value': '64.635'}, {'key': '1996 1H', 'value': '65.416'}, {'key': '1996 2H', 'value': '66.312'}, {'key': '1997 1H', 'value': '67.028'}, {'key': '1997 2H', 'value': '67.394'}, {'key': '1998 1H', 'value': '67.495'}, {'key': '1998 2H', 'value': '67.209'}, {'key': '1999 1H', 'value': '67.805'}, {'key': '1999 2H', 'value': '68.033'}, {'key': '2000 1H', 'value': '68.468'}, {'key': '2000 2H', 'value': '68.052'}, {'key': '2001 1H', 'value': '68.728'}, {'key': '2001 2H', 'value': '68.367'}, {'key': '2002 1H', 'value': '68.69'}, {'key': '2002 2H', 'value': '68.479'}, {'key': '2003 1H', 'value': '68.934'}, {'key': '2003 2H', 'value': '69.074'}, {'key': '2004 1H', 'value': '69.982'}, {'key': '2004 2H', 'value': '70.703'}, {'key': '2005 1H', 'value': '71.097'}, {'key': '2005 2H', 'value': '71.34'}, {'key': '2006 1H', 'value': '72.083'}, {'key': '2006 2H', 'value': '72.537'}, {'key': '2007 1H', 'value': '73.256'}, {'key': '2007 2H', 'value': '75.569'}, {'key': '2008 1H', 'value': '79.077'}, {'key': '2008 2H', 'value': '81.272'}, {'key': '2009 1H', 'value': '81.943'}, {'key': '2009 2H', 'value': '82.066'}, {'key': '2010 1H', 'value': '82.762'}, {'key': '2010 2H', 'value': '83.486'}, {'key': '2011 1H', 'value': '85.064'}, {'key': '2011 2H', 'value': '86.274'}, {'key': '2012 1H', 'value': '87.363'}, {'key': '2012 2H', 'value': '87.895'}, {'key': '2013 1H', 'value': '88.932'}, {'key': '2013 2H', 'value': '90.005'}, {'key': '2014 1H', 'value': '91.657'}, {'key': '2014 2H', 'value': '92.566'}, {'key': '2015 1H', 'value': '93.58'}, {'key': '2015 2H', 'value': '94.108'}, {'key': '2016 1H', 'value': '95.456'}, {'key': '2016 2H', 'value': '96.013'}, {'key': '2017 1H', 'value': '96.853'}, {'key': '2017 2H', 'value': '97.378'}, {'key': '2018 1H', 'value': '98.188'}, {'key': '2018 2H', 'value': '98.835'}, {'key': '2019 1H', 'value': '99.688'}, {'key': '2019 2H', 'value': '100.312'}, {'key': '2020 1H', 'value': '101.568'}, {'key': '2020 2H', 'value': '102.102'}, {'key': '2021 1H', 'value': '102.813'}, {'key': '2021 2H', 'value': '103.815'}, {'key': '2022 1H', 'value': '106.638'}, {'key': '2022 2H', 'value': '110.967'}, {'key': '2023 1H', 'value': '114.421'}, {'key': '2023 2H', 'value': '115.854'}, {'key': '2024 1H', 'value': '117.969'}, {'key': '2024 2H', 'value': '118.798'}]}",2025-04-04 06:10:24,SingStat Table Builder API
