data_series,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,period,income_group,data_source
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Modified OECD Scale),0.431,0.431,0.434,0.438,0.44,0.446,0.456,0.452,0.449,0.448,0.452,0.457,0.442,0.444,0.44,0.435,0.437,0.435,0.431,0.431,0.42,0.415,0.412,0.415,Annual,All,sg_singstat
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Square Root Scale),0.422,0.424,0.427,0.43,0.43,0.434,0.438,0.438,0.431,0.432,0.434,0.435,0.421,0.425,0.415,0.41,0.417,0.412,0.411,0.415,0.398,0.398,0.394,0.396,Annual,All,sg_singstat
Gini Coefficient Based On Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes,0.419,0.414,0.422,0.419,0.422,0.418,0.439,0.424,0.422,0.425,0.423,0.432,0.409,0.411,0.409,0.401,0.402,0.403,0.398,0.375,0.385,0.378,0.371,0.364,Annual,All,sg_singstat
Gini Coefficient Based On Household Employment Income Per Household Member (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes,0.454,0.454,0.457,0.46,0.465,0.47,0.482,0.474,0.471,0.472,0.473,0.478,0.463,0.464,0.463,0.458,0.459,0.458,0.452,0.452,0.444,0.437,0.433,0.435,Annual,All,sg_singstat
Median Monthly Household Employment Income Including Employer CPF Contributions,4716,4590,4612,4552,4831,4952,5362,6100,6006,6342,7037,7566,7872,8292,8666,8846,9023,9293,9425,9189,9520,10099,10869,11297,Annual,All,sg_singstat
Median Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions),1352,1320,1335,1331,1392,1447,1547,1754,1735,1848,1994,2127,2247,2380,2500,2584,2699,2792,2925,2886,3027,3287,3500,3615,Annual,All,sg_singstat
Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) At 20th Percentile,660,638,640,652,666,702,747,832,824,889,971,1020,1083,1167,1242,1280,1311,1359,1415,1396,1498,1623,1708,1772,Annual,All,sg_singstat
Real Change In Average Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions),9.8,-1.8,0.9,-1.3,4.6,4.7,7.6,3.8,-3,4.4,2.6,2.7,-0.4,5.6,6.6,2.3,3.4,3,3.1,-2.1,1.2,1.3,0.1,1.8,Annual,All,sg_singstat
Real Change In Median Monthly Household Employment Income Including Employer CPF Contributions,6.8,-2.4,-0.1,-2.8,5.5,1.5,6.1,6.8,-2.4,2.8,5.6,2.7,1.6,4.1,4.9,2.6,1.5,2.6,1,-2.4,1.5,0.2,2.8,1.4,Annual,All,sg_singstat
Real Change In Median Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions),8.9,-2.1,0.6,-1.8,4,2.9,4.8,6.4,-1.9,3.7,2.7,1.9,3.2,4.7,5.4,3.8,3.9,3,4.3,-1.2,2.8,2.6,1.7,0.8,Annual,All,sg_singstat
Real Change In Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) At 20th Percentile,3.8,-3.1,-0.8,-0.4,0.8,3.5,4.3,3.3,-3,5.3,4.4,-0.5,3.4,6.1,7.6,4.2,2.5,3.4,3.8,-1.3,5.5,3.2,0.9,1,Annual,All,sg_singstat
