data_series,2019,2020,2021,2022,2023,2024,period,income_group,data_source
"Newspapers, Books & Stationery",100,100.385,100.642,101.584,103.363,104.075,Annual,Highest 20%,sg_singstat
Non-Alcoholic Beverages,100,103.694,105.398,109.819,116.17,119.314,Annual,Highest 20%,sg_singstat
Oils & Fats,100,101.546,102.239,108.943,114,119.049,Annual,Highest 20%,sg_singstat
Other Articles & Related Services,100.001,99.316,96.862,100.385,109.109,111.322,Annual,Highest 20%,sg_singstat
Other Food,100,101.442,102.944,106.629,113.336,118.651,Annual,Highest 20%,sg_singstat
Other Miscellaneous Services,100,100.022,99.215,94.721,94.079,93.839,Annual,Highest 20%,sg_singstat
Other Transport Services,100,97.519,101.573,112.006,110.259,107.784,Annual,Highest 20%,sg_singstat
Outpatient Services,100,98.341,99.12,102.324,110.439,114.89,Annual,Highest 20%,sg_singstat
Personal Care,100,99.861,98.711,100.261,103.618,105.088,Annual,Highest 20%,sg_singstat
Personal Effects,100,95.6,96.418,96.385,96.922,97.333,Annual,Highest 20%,sg_singstat
Petrol,100,92.839,109.29,129.73,124.801,128.469,Annual,Highest 20%,sg_singstat
Point-To-Point Transport Services,100,99.115,103.522,117.927,121.749,130.65,Annual,Highest 20%,sg_singstat
Postage & Courier Services,100.001,102.522,92.955,97.149,99.54,111.887,Annual,Highest 20%,sg_singstat
Private Transport,100,98.609,110.206,131.638,143.047,142.353,Annual,Highest 20%,sg_singstat
Public Transport,100,102.002,104.193,112.73,116.607,124.57,Annual,Highest 20%,sg_singstat
Recreation & Culture,100,97.821,98.999,103.307,109.78,114.119,Annual,Highest 20%,sg_singstat
Recreational & Cultural Goods,100,99.263,99.047,101.118,103.257,104.042,Annual,Highest 20%,sg_singstat
Recreational & Cultural Services,100,99.905,101.28,105.322,109.799,116.407,Annual,Highest 20%,sg_singstat
Restaurant Food,100,101.506,102.647,107.819,114.165,118.494,Annual,Highest 20%,sg_singstat
Social Services,100,101.77,100.738,101.737,101.238,102.442,Annual,Highest 20%,sg_singstat
"Sugar, Preserves & Confectionery",100,104.908,105.642,108.839,113.783,114.435,Annual,Highest 20%,sg_singstat
Telecommunication Equipment,100,98.5,94.727,98.964,96.745,93.631,Annual,Highest 20%,sg_singstat
Telecommunication Services,100,100.775,100.402,98.814,102.051,102.76,Annual,Highest 20%,sg_singstat
Textbooks & Study Guides,100,100.227,100.109,100.557,102.972,104.707,Annual,Highest 20%,sg_singstat
Transport,100,98.841,108.586,127.404,136.516,136.528,Annual,Highest 20%,sg_singstat
Tuition & Other Fees,100,101.598,102.935,104.987,108.113,111.909,Annual,Highest 20%,sg_singstat
Utilities & Other Fuels,100,94.224,95.012,108.69,111.831,117.84,Annual,Highest 20%,sg_singstat
Vegetables,100,105.097,110.517,116.112,118.302,120.538,Annual,Highest 20%,sg_singstat
Water Supply,100,100,100,100,101.023,107.355,Annual,Highest 20%,sg_singstat
