DataSeries,2024,2023,2022,2021,2020,2019,year,period,income_group
    Transport,136.528,136.516,127.404,108.586,98.841,100,2025,Post-COVID,All
        Private Transport,142.353,143.047,131.638,110.206,98.609,100,2025,Post-COVID,All
            Cars,156.217,158.794,142.588,115.277,100.696,100,2025,Post-COVID,All
            Petrol,128.469,124.801,129.73,109.29,92.839,100,2025,Post-COVID,All
        Public Transport,124.57,116.607,112.73,104.193,102.002,100,2025,Post-COVID,All
            Bus & Train Fares,120.367,112.652,109.329,106.993,106.958,100.001,2025,Post-COVID,All
            Point-To-Point Transport Services,130.65,121.749,117.927,103.522,99.115,100,2025,Post-COVID,All
        Other Transport Services,107.784,110.259,112.006,101.573,97.519,100,2025,Post-COVID,All
    Communication,102.041,101.579,98.815,99.865,100.592,100,2025,Post-COVID,All
        Postage & Courier Services,111.887,99.54,97.149,92.955,102.522,100.001,2025,Post-COVID,All
        Telecommunication Equipment,93.631,96.745,98.964,94.727,98.5,100,2025,Post-COVID,All
        Telecommunication Services,102.76,102.051,98.814,100.402,100.775,100,2025,Post-COVID,All
    Recreation & Culture,114.119,109.78,103.307,98.999,97.821,100,2025,Post-COVID,All
        Recreational & Cultural Goods,104.042,103.257,101.118,99.047,99.263,100,2025,Post-COVID,All
        Recreational & Cultural Services,116.407,109.799,105.322,101.28,99.905,100,2025,Post-COVID,All
"        Newspapers, Books & Stationery",104.075,103.363,101.584,100.642,100.385,100,2025,Post-COVID,All
        Holiday Expenses,116.542,111.864,103.262,98.069,96.544,100,2025,Post-COVID,All
    Education,111.855,108.075,104.954,102.914,101.588,100,2025,Post-COVID,All
        Tuition & Other Fees,111.909,108.113,104.987,102.935,101.598,100,2025,Post-COVID,All
        Textbooks & Study Guides,104.707,102.972,100.557,100.109,100.227,100,2025,Post-COVID,All
    Miscellaneous Goods & Services,101.837,100.85,98.57,98.295,98.833,100,2025,Post-COVID,All
        Personal Care,105.088,103.618,100.261,98.711,99.861,100,2025,Post-COVID,All
        Alcoholic Drinks & Tobacco,107.664,106.093,98.97,98.245,98.114,100,2025,Post-COVID,All
        Personal Effects,97.333,96.922,96.385,96.418,95.6,100,2025,Post-COVID,All
        Social Services,102.442,101.238,101.737,100.738,101.77,100,2025,Post-COVID,All
        Other Miscellaneous Services,93.839,94.079,94.721,99.215,100.022,100,2025,Post-COVID,All
All Items Less Imputed Rentals On Owner-Occupied Accommodation,118.366,116.071,110.3,102.838,99.735,100,2025,Post-COVID,All
All Items Less Accommodation,118.729,116.52,110.659,102.938,99.691,100,2025,Post-COVID,All
